"","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"66",119.240186063921,2000,2122.49668507903,2298.6652881897,1958.03331460442,2000
"67",98.1365261226124,2000,2205.26878040013,2360.68051391114,1958.13546825482,2000
"68",117.982881502182,2000,2123.24763079574,2284.81724165241,1927.8546053674,2000
"69",495.892836190423,2000,1775.46346229775,2946.895018898,2386.94742500741,1308.46185476728
"70",135.707397760119,2000,2063.00044776928,2223.230392514,2305.75495784318,2000
"71",180.339509136962,2000,2520.9617977429,2815.50503935715,3164.26432681279,1580.65104009503
"72",117.971181814915,2000,2119.51376148794,2604.1700273559,1955.17614693601,2000
"73",101.262925676793,1999.99999999999,2197.04628977579,2695.69337747469,2015.03062160554,2000
"74",120.350737183331,2000,2144.32417578021,2264.49168379872,1916.54140980301,2000.00000000001
"75",97.1175676678795,2000,2217.27153486133,2336.87131242358,1918.20476725477,2000
"76",616.225895386259,2000,1840.53993516914,3346.57785866057,2965.0808708059,1280.53482077726
"77",194.480378522271,2000,2625.86367949946,2909.67656801343,3425.60695536667,1453.29762103283
"78",292.241474583397,2000,2389.18865211625,2779.1603494001,2314.60726363927,1484.20596045778
"79",134.923557239327,2000,2217.65887614803,2247.07240713343,1855.80012109822,2000
"80",546.539484598501,2000,1814.17653066791,3178.02349287811,2884.3025071474,1270.25962690027
"81",147.272263786846,2000,2286.65458459202,2557.70848070516,2377.85383820533,2000
"82",238.485334967732,2000,2459.88293552028,2800.21112121538,2319.91053489596,1507.13934169271
"83",121.064266344462,2000,2106.41527063827,2235.88438807849,1892.07124013651,2000
"84",568.72839864182,2000,1811.44117717681,3116.04520852891,2446.65610904667,1336.1735303266
"85",522.768277918258,2000,1781.31944412245,3109.13418655215,2874.24558698096,1248.43625847827
"86",99.6252913706932,2000,2229.22330770347,2368.2938806577,2011.89398713835,2000
"87",152.394387640434,2000,2582.83607348145,2856.85369612947,3373.94448433702,1528.11222217781
"88",132.047940948076,2000,2514.66478450399,2766.77923175775,2111.11290717794,2000
"89",123.610826228447,2000,2463.36414011809,2732.16360464078,3606.36244237941,2000
"90",285.200855640733,2000,2421.103587554,2807.92482104398,2324.73881055777,1470.1120014254
"91",109.279309083515,2000,2455.49257369373,2707.36331491999,2047.07661672564,2000
"92",130.308561639935,2000,2112.95092305573,2277.09251064855,2004.54906550275,2000
"93",112.751308630829,2000,2153.81604840527,2315.91458221275,1963.02679490507,2000
"94",127.369144069991,1999.99999999999,2108.63830297418,2218.01566708322,1883.78377319399,2000
"95",110.080740613818,2000,2152.81467168175,2326.09357627806,1949.49318399713,2000
"96",121.861028025815,2000,2517.17456266728,2764.24342791241,2104.24231182214,2000
"97",121.485485100457,2000,2111.08367741856,2276.4955241711,1935.05493988846,2000
"98",265.476205754397,2000,2500.95476578631,2864.49154943694,2351.12364444733,1423.16002235647
"99",114.557709471191,2000,2149.60693276949,2290.27271125088,1891.4420580928,2000
"100",103.836717627719,2000,2171.62614660532,2658.86182289218,1966.82461452917,2000
