"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept).Cage.36",1,1,0.687341520822926,0,0.000233689359345051,0.000437694187876629
"(Intercept).Cage.37",1,1,0.335536655098145,0,-0.00138211102177599,0.000336193948825788
"(Intercept).Cage.38",1,1,0.237899387985616,1,0.0155073833311584,0.000316609046234725
"(Intercept).Cage.4",1,1,0.92355793401664,1,0.0135530275512023,0.000346708764717404
"(Intercept).Cage.40",1,1,0.394593654608704,0,-0.00214681257705663,0.000468320503613353
"(Intercept).Cage.42",1,1,0.455621585844233,1,0.0218587936401973,0.00035308398007827
"(Intercept).Cage.43",1,1,0.605071243100389,1,0.00835980275216401,0.000386341590048964
"(Intercept).Cage.44",1,1,0.100700274873718,1,-0.0121852327414178,0.000390556876178493
"(Intercept).Cage.45",1,1,0.263773399332405,0,0.00117284537626991,0.000348311756081892
"(Intercept).Cage.46",1,1,0.951851465327249,1,-0.0192172437646732,0.000390817623937289
"(Intercept).Cage.47",1,1,0.478703456552208,1,-0.0075470182177909,0.000433930018488456
"(Intercept).Cage.48",1,1,0.151685796374045,1,-0.00440876814431783,0.000429016101321669
"(Intercept).Cage.49",1,1,0.771657029929971,0,0.00190513473663901,0.000365417706315335
"(Intercept).Cage.50",1,1,0.363180305109421,1,0.0259563296552792,0.000361862944336089
"(Intercept).Cage.51",1,1,0.222542579252402,0,0.00358043990374139,0.000400609303149977
"(Intercept).Cage.52",1,1,0.114486556491564,1,-0.0216040545574246,0.000468124239967559
"(Intercept).Cage.57",1,1,0.545308226304857,1,-0.00888237895264608,0.000336436611642934
"(Intercept).Cage.58",1,1,0.660898694542567,1,-0.0253823747929452,0.000369735543249215
"(Intercept).Cage.59",1,1,0.457618544523109,1,0.00742927041290588,0.000359291448236147
"(Intercept).Cage.6",1,1,0.849185081653851,1,-0.0120246826087447,0.00035309522145482
"(Intercept).Cage.60",1,1,0.201867720722771,1,-0.0113668684776015,0.000326926837306726
"(Intercept).Cage.61",1,1,0.37472489256126,1,0.00936908943434317,0.000336923722524883
"(Intercept).Cage.62",1,1,0.710990836306052,1,-0.00787384740979014,0.000285219081411003
"(Intercept).Cage.63",1,1,0.144394375655885,1,0.00881601321157422,0.000319353695320169
"(Intercept).Cage.64",1,1,0.262325695956213,1,0.0375712555237217,0.000388104812147145
"(Intercept).Cage.65",1,1,0.27238788890095,1,0.00444945294789179,0.000342681228061955
"(Intercept).Cage.66",1,1,0.177354439629863,0,-0.00236455372650016,0.000334622264359931
"(Intercept).Cage.67",1,1,0.528299008849103,1,-0.0123515299025621,0.000347553966241369
"(Intercept).Cage.68",1,1,0.721574803600756,1,0.0208362717224188,0.000395387695290625
"(Intercept).Cage.69",1,1,0.577355963376442,1,-0.0241181388203694,0.000358420778323011
"(Intercept).Cage.7",1,1,0.260448313716563,0,-0.00165364369822568,0.000339470753899096
"(Intercept).Cage.70",1,1,0.0852458438947593,1,0.0117556163043006,0.000386695687821415
"(Intercept).Cage.71",1,1,0.473724480726364,0,-0.00349975276523179,0.000350499080163841
"(Intercept).Cage.72",1,1,0.418301079390628,1,-0.0104706622090105,0.000386889086709507
"(Intercept).Cage.73",1,1,0.628217393344148,1,0.00997961669194227,0.000409292821600732
"(Intercept).Cage.74",1,1,0.966678008437096,1,-0.0066291282036078,0.000402964549341813
"(Intercept).Cage.75",1,1,0.342773212737942,0,0.00260123528801775,0.000401705062111179
"(Intercept).Cage.76",1,1,0.703502151420232,0,0.00102303331326884,0.00042303529119705
"(Intercept).Cage.77",1,1,0.651994321221018,0,0.000258799645444374,0.000378680963931349
"(Intercept).Cage.8",1,1,0.782755540589592,1,-0.0187007188710875,0.000326913279876176
"(Intercept).Cage.9",1,1,0.163564710492258,1,0.0122723032785717,0.00036285887180579
"nTreatment.Cage.1",1,1,0.552770520496964,0,-0.00100146777196442,0.00021616321301589
"nTreatment.Cage.10",1,1,0.56462795019541,1,0.00218029182899582,0.000207907639514786
"nTreatment.Cage.11",1,1,0.142135009161878,1,0.00399424341331915,0.000243118506290591
"nTreatment.Cage.12",1,1,0.689917374032344,0,-0.000434404122225492,0.000190832895178214
"nTreatment.Cage.13",1,1,0.167519819576846,1,-0.00275994222635557,0.000203395691829425
"nTreatment.Cage.14",1,1,0.858476061301437,1,0.00326459844680759,0.000216425360705165
"nTreatment.Cage.15",1,1,0.963277017975831,0,-0.000309247827716874,0.000200482522660296
"nTreatment.Cage.16",1,1,0.583309410010286,0,-0.0011124791936146,0.000206882615264532
"nTreatment.Cage.17",1,1,0.136022822593182,0,0.00032703770139103,0.000196289691042747
"nTreatment.Cage.18",1,1,0.316031986719428,1,-0.00239357849317723,0.00022003113278003
"nTreatment.Cage.19",1,1,0.713801084611936,0,-0.00196513370198905,0.000204785764665236
"nTreatment.Cage.2",1,1,0.996305884161184,1,-0.00366099183987638,0.000223078543715299
"nTreatment.Cage.20",1,1,0.716295410524931,0,0.00153925090863221,0.000200661228734191
"nTreatment.Cage.21",1,1,0.953146697933984,0,0.00197169981440344,0.000223810634052122
"nTreatment.Cage.22",1,1,0.638126901041956,0,-0.00154767947761808,0.000218097304946267
"nTreatment.Cage.23",1,1,0.42664690596226,0,-0.000112718735749042,0.000193240148737034
"nTreatment.Cage.24",1,1,0.099140763618506,0,-0.00030183285698306,0.00019287061834198
"nTreatment.Cage.25",1,1,0.333626965775376,0,0.00182921451298629,0.000218078603541485
"nTreatment.Cage.26",1,1,0.203787907432413,0,0.00153122154700255,0.000207440940632377
"nTreatment.Cage.27",1,1,0.369245179839512,0,0.000538435408042839,0.000197557391581466
"nTreatment.Cage.28",1,1,0.439877899002083,0,-0.000630200846768255,0.000187245762456391
"nTreatment.Cage.29",1,1,0.639657145587517,1,-0.00377913919053229,0.000228425599682402
"nTreatment.Cage.3",1,1,0.567526091266993,0,-0.00106929581664294,0.000200170469548012
"nTreatment.Cage.30",1,1,0.0614570370407679,0,-0.000259431831491176,0.000197403408092497
"nTreatment.Cage.31",1,1,0.904930821909405,0,0.00102081659862188,0.000211579274023996
"nTreatment.Cage.32",1,1,0.955693377224263,0,-0.00170217308675153,0.000220334693600849
"nTreatment.Cage.33",1,1,0.476751744961698,0,-0.000309625360687744,0.000195315061352295
"nTreatment.Cage.34",1,1,0.445308746132648,0,-0.00206039103165101,0.000209000043273125
"nTreatment.Cage.35",1,1,0.840297498732122,0,-0.00120150535096882,0.000201141891376456
"nTreatment.Cage.36",1,1,0.604079929089331,0,0.000134626303308201,0.000211541941812054
"nTreatment.Cage.37",1,1,0.624369544937569,0,0.00196390203366531,0.000205420218051792
"nTreatment.Cage.38",1,1,0.915561302154225,0,0.00175928833333394,0.000203861695642688
"nTreatment.Cage.4",1,1,0.964942634639201,0,0.000774553055943502,0.000207605179199411
"nTreatment.Cage.40",1,1,0.286000968628801,0,0.00013750901144883,0.000219947389582827
"nTreatment.Cage.42",1,1,0.9731364363293,0,0.00105120319588881,0.000218846355584078
"nTreatment.Cage.43",1,1,0.235472835062996,0,0.00185442373652177,0.000190123366889982
"nTreatment.Cage.44",1,1,0.642934127709702,0,0.000446329525852924,0.000215233190032195
"nTreatment.Cage.45",1,1,0.502032160385182,0,0.000470194318324672,0.00019691346991605
"nTreatment.Cage.46",1,1,0.395005488087768,0,-0.00170254546870091,0.000227582000687146
"nTreatment.Cage.47",1,1,0.221856980676054,0,-0.00154121981952901,0.000215004284977481
"nTreatment.Cage.48",1,1,0.0707228903510683,0,0.00109098940010647,0.000214699721729393
"nTreatment.Cage.49",1,1,0.172614719707766,0,0.000465543048737562,0.000209385897571145
"nTreatment.Cage.50",1,1,0.830444460053453,0,0.00019217898110265,0.000219425208334805
"nTreatment.Cage.51",1,1,0.336769819790275,0,0.000602741850132254,0.000210947162638787
"nTreatment.Cage.52",1,1,0.493350809483381,1,-0.00315286259930116,0.000249140748434321
"nTreatment.Cage.57",1,1,0.437749046335004,0,-0.00167626258210853,0.000202467794344086
"nTreatment.Cage.58",1,1,0.413416928310727,0,-0.00183816559526126,0.00022519328576526
"nTreatment.Cage.59",1,1,0.383183925953266,0,-0.000552595048388976,0.000199345810852205
"nTreatment.Cage.6",1,1,0.550743431083171,0,-0.000125516399894972,0.000195117425951745
"nTreatment.Cage.60",1,1,0.713108335164124,0,0.0014829944802878,0.000207428565747795
"nTreatment.Cage.61",1,1,0.180337865853665,0,-0.000145119264591074,0.000198353727171079
"nTreatment.Cage.62",1,1,0.789833571108322,1,0.00204394584222758,0.000204037029169913
"nTreatment.Cage.63",1,1,0.875663773399509,0,0.000360737234126503,0.000194933116529397
"nTreatment.Cage.64",1,1,0.348984655555674,1,0.00533113980389494,0.000284502482256205
"nTreatment.Cage.65",1,1,0.175330772492204,0,3.12013492725914e-05,0.000203390930443109
"nTreatment.Cage.66",1,1,0.232853721733591,1,-0.00271923790835714,0.00021677047096733
"nTreatment.Cage.67",1,1,0.377566847236325,1,-0.00289579272675539,0.000223976690011896
"nTreatment.Cage.68",1,501,0.0798309464033246,0,0.000893343309182179,0.000229717790500485
"nTreatment.Cage.69",1,1,0.347322870698259,1,-0.00468624070747085,0.000252768529425965
"nTreatment.Cage.7",1,1,0.754374271937579,0,0.00110727000115212,0.000193883827223411
"nTreatment.Cage.70",1,1,0.669196124389494,0,0.000673523985520008,0.000205443416895026
"nTreatment.Cage.71",1,1,0.346029015676062,0,0.00132531247172102,0.000210258970308626
"nTreatment.Cage.72",1,1,0.822346223524863,0,-0.0011511129707595,0.000211792180335068
"nTreatment.Cage.73",1,1,0.404998991429843,0,0.00135350552647436,0.000218867829943209
"nTreatment.Cage.74",1,1,0.457197695058559,0,-0.000433826924563156,0.000213574914522831
"nTreatment.Cage.75",1,1,0.737054932716266,0,0.000224881630037547,0.000204916097851587
"nTreatment.Cage.76",1,1,0.906520661923703,0,0.000123938774191407,0.000214713677142437
"nTreatment.Cage.77",1,1,0.537641499394827,0,0.00130577351382608,0.000203839307284506
"nTreatment.Cage.8",1,1,0.111906163405484,0,-0.000228077222677749,0.000189896021573917
"nTreatment.Cage.9",1,1,0.0999265129034622,0,0.00201845677288269,0.000209303061729707
