"","Phylogeny","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"28",1658.36012295085,244.869908841056,2098.59787098731,2597.06839714543,2058.36241150139,3764.71329227104,1670.35869680206
"29",692.337145358168,265.017995066585,2090.30843398848,2624.40494794969,1975.38594574656,3119.38687744927,2000
"30",1446.184071315,69.0743871061091,2098.97266455395,2311.13826838679,1285.72477063853,2266.63578932064,1659.53494492639
"31",2000,18.7540936310157,2100.38644733219,2748.78221739598,2633.14017309426,1540.1047013532,1369.8381933602
"32",900.28735591967,698.073882684337,2101.03983215516,2000,2433.88041701046,2774.18569619215,1860.74612204062
"33",221.064534932532,351.053299544714,2103.51550532155,1780.7247878816,3003.44443272935,3146.88061244392,2263.42187973542
"34",956.616999272546,307.863031850063,2099.46848819509,1512.14838972997,2083.9560312934,2519.6923040011,1733.28390186069
"35",2000,194.571721055874,2102.84301711797,1295.90890028358,2820.52764365278,2162.5741512704,2350.36387280346
"36",312.048404752661,340.233711971634,2103.88039457965,1739.02774967382,2466.71547537449,2689.24488910318,2758.15903363891
"37",354.347923163627,286.635304962815,2113.60046202723,2671.83038567173,2904.29988385202,2742.76586111996,3240.66534850147
"38",388.469961649909,273.289117560328,2104.60761361474,2462.46212854869,1883.48031807074,3018.89397250142,2371.29092907731
"39",665.052390405039,1008.99805750988,2100.79500054112,1981.0272456661,2000,2375.41186916275,1560.22619936516
"40",540.574825956086,244.967696740415,2104.1282681894,2618.35168033768,3263.16592862054,2999.67715567077,1511.99480771628
"41",447.58643612467,2000,2102.87443846823,7448.16260429568,5776.54152710247,1531.63487529271,1885.72904102669
"42",1445.33345398588,1358.5936132993,2090.88060885914,2000,2000,2767.29824403047,2891.66949786159
"43",603.23709657636,1328.07570308256,2106.59400907404,1692.06038275332,2213.20573916483,2493.79752939843,2381.47619510451
"44",1253.67431962545,621.539983438957,2091.82270106308,2492.17910525292,2590.56861181048,2132.97979446095,1969.55888912185
"45",1536.90802035662,468.096923335071,2102.14486058802,2033.88005506741,2009.18726276659,2393.7485136358,2427.60334659047
"46",340.349334624295,560.548759610634,2112.11031611738,2230.63512016266,2326.66114369117,2680.86963882588,3857.62455568915
"47",2000,1148.98397592556,2096.27309731788,2000,1783.06917733807,1955.50338223876,1817.48046359269
"48",496.859498624823,218.342573577711,2098.19865812197,1416.33871553359,1647.98667290024,2487.44829184743,4421.15930128063
"49",582.322179099086,710.829046933987,2122.52643554322,1773.16104370272,2556.24418034076,3098.11101638255,2509.74443789709
