"","stest","start","pvalue","htest","mean","halfwidth"
"nTreatment.Cage.35",1,1,0.402795454794802,1,0.0364557871689827,0.00320343172623444
"nTreatment.Cage.36",1,1,0.925588414974424,0,-0.00770479299846739,0.00331037849136378
"nTreatment.Cage.37",1,1,0.45914177048529,1,0.0400088690903718,0.00298530096906494
"nTreatment.Cage.38",1,1,0.0742368329413472,1,-0.178441426728614,0.00377065615492502
"nTreatment.Cage.4",1,1,0.276236494921893,1,-0.0452355470766078,0.00370044970238507
"nTreatment.Cage.40",1,1,0.827785542705652,0,-0.00763781604934291,0.00382674435816141
"nTreatment.Cage.42",1,1,0.568545223108968,0,-0.0161413494726979,0.00329575188413821
"nTreatment.Cage.43",1,1,0.42101151811819,0,-0.0132009077482187,0.00327375885516786
"nTreatment.Cage.44",1,1,0.982291369295175,0,0.0107016657853044,0.00322791033920763
"nTreatment.Cage.45",1,1,0.990796372310686,0,-0.0050050594741299,0.00318813146814562
"nTreatment.Cage.46",1,1,0.118558730061307,1,-0.089238335050214,0.0035647117607964
"nTreatment.Cage.47",1,1,0.700138019788436,0,0.00570904781219779,0.00357280323653409
"nTreatment.Cage.48",1,1,0.477207308060552,0,0.00665811007157101,0.0036103972631663
"nTreatment.Cage.49",1,1,0.505228552951667,1,0.0369569214720862,0.00316176344956465
"nTreatment.Cage.50",1,1,0.734026303424268,1,0.0546978106014539,0.00342703051759364
"nTreatment.Cage.51",1,1,0.460707764761582,0,-0.0234971447161614,0.00332252910079891
"nTreatment.Cage.52",1,1,0.152228600654996,0,0.0322787086083873,0.00351434413429745
"nTreatment.Cage.57",1,1,0.838490317897094,1,-0.0467852699490796,0.0032974223609214
"nTreatment.Cage.58",1,1,0.104399492521651,1,0.118601983176239,0.00362531067229405
"nTreatment.Cage.59",1,1,0.235033918353468,0,0.0117808035136908,0.003014543300713
"nTreatment.Cage.6",1,1,0.284425236301114,1,-0.12940851020755,0.00380952005360208
"nTreatment.Cage.60",1,1,0.330765894681322,0,-0.0183083334520018,0.00326493568396196
"nTreatment.Cage.61",1,1,0.272750105944487,1,-0.0544211539859256,0.0032147720350951
"nTreatment.Cage.62",1,1,0.332297390302059,0,0.0169742550001755,0.00310088073137856
"nTreatment.Cage.63",1,1,0.414916589691446,1,-0.0435286521673446,0.00296881739793434
"nTreatment.Cage.64",1,1,0.990688760145332,0,-0.0130332785185611,0.00355642697928989
"nTreatment.Cage.65",1,1,0.285316046498013,0,-0.00403512831195489,0.0033196333372579
"nTreatment.Cage.66",1,1,0.196216221048831,0,0.0130097772096283,0.00338790707842766
"nTreatment.Cage.67",1,1,0.463957616983481,0,0.0137497108313487,0.00317434935219238
"nTreatment.Cage.68",1,501,0.127154833037843,1,0.0595314753826448,0.00381071737198693
"nTreatment.Cage.69",1,1,0.147447245107363,1,-0.0932269590563792,0.00309660663177211
"nTreatment.Cage.7",1,1,0.950698813028902,0,0.0130260294487913,0.00319845768504309
"nTreatment.Cage.70",1,1,0.70553277271979,1,-0.0449553575949254,0.00335581722744691
"nTreatment.Cage.71",1,1,0.971479421485333,1,-0.0653151155426698,0.00361722710317856
"nTreatment.Cage.72",1,501,0.0807542681977819,1,0.0994616076781026,0.00383153750227823
"nTreatment.Cage.73",1,1,0.0818392053312339,1,0.0480371648724907,0.00363310425138488
"nTreatment.Cage.74",0,NA,0.026834728431737,NA,NA,NA
"nTreatment.Cage.75",1,2001,0.0587464862442467,1,-0.0870047808483347,0.0048960931410899
"nTreatment.Cage.76",1,1,0.20842757534679,1,-0.0550500235137367,0.00350235589205972
"nTreatment.Cage.77",1,1,0.932292279275328,0,0.0167434111918652,0.00325332941630098
"nTreatment.Cage.8",1,1,0.960646792195997,0,-0.00246369485990774,0.00325963386832766
"nTreatment.Cage.9",1,1,0.170524888147824,1,0.100878971514942,0.00346463620515704
