"","lower","upper"
"nTreatment.Cage.22",-0.438042588371793,0.070204583752347
"nTreatment.Cage.23",-0.329492433702578,0.13949101549396
"nTreatment.Cage.24",-0.0640313059238123,0.46289783296485
"nTreatment.Cage.25",-0.271867638281777,0.262163483671092
"nTreatment.Cage.26",-0.276675298464575,0.22898748825599
"nTreatment.Cage.27",-0.169476490262479,0.328076775774812
"nTreatment.Cage.28",-0.287255604515761,0.211214431911725
"nTreatment.Cage.29",-0.2066803255084,0.245311971940303
"nTreatment.Cage.3",-0.261331272966874,0.189569323337458
"nTreatment.Cage.30",-0.242465975410751,0.229078621631871
"nTreatment.Cage.31",-0.181764989877651,0.312953075366135
"nTreatment.Cage.32",-0.166775239661668,0.350960831382309
"nTreatment.Cage.33",-0.203509986652335,0.249590087317514
"nTreatment.Cage.34",-0.268334251725243,0.18066289367439
"nTreatment.Cage.35",-0.188464677981164,0.282556981033838
"nTreatment.Cage.36",-0.262583366680083,0.241198563326947
"nTreatment.Cage.37",-0.185957652062024,0.26678789549848
"nTreatment.Cage.38",-0.462372479853905,0.0508921204831308
"nTreatment.Cage.4",-0.338709701664383,0.18922624755693
"nTreatment.Cage.40",-0.287817129997586,0.266098132779025
"nTreatment.Cage.42",-0.25096519632379,0.221668747757088
"nTreatment.Cage.43",-0.255818581272739,0.219119904412936
"nTreatment.Cage.44",-0.233360412910513,0.259015813034349
"nTreatment.Cage.45",-0.249919418232422,0.23701930859888
"nTreatment.Cage.46",-0.370114162913495,0.123188774289358
"nTreatment.Cage.47",-0.269340375238469,0.270598553838957
"nTreatment.Cage.48",-0.260345221165708,0.267523479601909
"nTreatment.Cage.49",-0.181142102249318,0.288731662312972
"nTreatment.Cage.50",-0.170288914648328,0.322825597995576
"nTreatment.Cage.51",-0.275889113211572,0.230273509622283
"nTreatment.Cage.52",-0.227516383223493,0.298135564784484
"nTreatment.Cage.57",-0.291185217047292,0.189735395516464
"nTreatment.Cage.58",-0.095993990509847,0.407271489269686
"nTreatment.Cage.59",-0.209947498951223,0.251138017650412
"nTreatment.Cage.6",-0.419371688373191,0.0986540171047763
"nTreatment.Cage.60",-0.277185658838655,0.220951209309021
"nTreatment.Cage.61",-0.3122602107833,0.179777600680434
"nTreatment.Cage.62",-0.191809297532476,0.254501104111695
"nTreatment.Cage.63",-0.279338445009842,0.177919679249559
"nTreatment.Cage.64",-0.296476665765281,0.249355805967219
"nTreatment.Cage.65",-0.251425746003922,0.240007794443755
"nTreatment.Cage.66",-0.225608398952209,0.270013887682341
"nTreatment.Cage.67",-0.245457142426487,0.24787132575371
"nTreatment.Cage.68",-0.173114874444676,0.317601481457298
"nTreatment.Cage.69",-0.349490936555493,0.109844152578633
"nTreatment.Cage.7",-0.22289306876526,0.24935238763808
"nTreatment.Cage.70",-0.288851596028125,0.204785531054335
"nTreatment.Cage.71",-0.351697240725465,0.167757120576938
"nTreatment.Cage.72",-0.112695400868986,0.367236583801489
"nTreatment.Cage.73",-0.198375327347458,0.33611164411923
"nTreatment.Cage.74",-0.131695538686233,0.416609896117615
"nTreatment.Cage.75",-0.381723023416864,0.177385468181381
"nTreatment.Cage.76",-0.343445359338381,0.177323144585584
"nTreatment.Cage.77",-0.218991673455055,0.255059572563865
"nTreatment.Cage.8",-0.245949642694002,0.244370088034011
"nTreatment.Cage.9",-0.127666254553758,0.370133158714668
"(Intercept):(Intercept).Cage",4.06005521705007e-07,0.0165395083403854
"nTreatment:(Intercept).Cage",-0.00373491152682642,0.0134817180515505
"(Intercept):nTreatment.Cage",-0.00373491152682642,0.0134817180515505
"nTreatment:nTreatment.Cage",8.81365995535357e-08,0.0470766256323921
"units",0.0805660937864331,0.109822119785428
