points,Longitude,Latitude
502,-78.32,34.6135
503,-78.32,34.6135
504,-78.32,34.6135
505,-76.6602,35.3407
506,-76.9665,35.2439
507,-76.9665,35.2439
508,-76.9665,35.2439
509,-77.8514,35.2236
510,-76.5908,34.668
511,-76.5908,34.668
512,-82.2467,35.4393
513,-78.2202,34.4287
514,-77.0868,34.8134
515,-76.5908,34.668
516,-77.8124,34.5444
517,-78.0057,34.5305
518,-77.8124,34.5444
519,-77.8124,34.5444
520,-77.5417,34.4932
521,-79.424,33.0947
522,-77.5404,34.4928
523,-79.424,33.0947
524,-79.0388,34.9536
525,-78.6404,35.6604
526,-78.8622,35.1311
527,-78.8645,35.1718
528,-78.8645,35.1718
529,-77.8472,35.3832
530,-78.8736,35.1316
531,-78.902,35.4615
532,-76.4948,35.9232
533,-76.4948,35.9232
534,-78.4069,33.9772
535,-76.7197,35.3656
536,-76.94,34.8145
537,-79.9212,35.7884
538,-80.5496,34.9854
539,-80.0135,35.3949
540,-80.0135,35.3949
541,-80.5496,34.9854
542,-77.9863,34.9822
543,-90.0744,29.9543
544,-90.0744,29.9543
545,-90.123,29.7243
546,-80.391,33.0274
547,-79.5794,35.0054
548,-80.0921,35.3588
549,-78.6791,35.3062
550,-78.6791,35.3062
551,-90.075,29.9561
552,-90.075,29.9561
553,-90.075,29.9561
554,-90.075,29.9561
555,-90.075,29.9561
556,-77.9843,34.7338
557,-77.933,34.7357
558,-77.933,34.7357
559,-79.0315,35.8939
560,-76.5692,35.2457
561,-77.5814,34.5492
562,-76.8065,34.9697
563,-78.2213,33.9237
564,-76.4319,35.5794
565,-75.7015,36.008
566,-82.932,35.1242
567,-77.9441,34.6948
568,-78.6388,35.7801
569,-76.3208,35.6317
570,-77.3711,35.6125
571,-76.3208,35.6317
572,-77.3003,35.6122
573,-82.8386,34.6751
574,-81.7802,28.696
575,-76.5275,34.7593
576,-77.3003,35.6122
577,-76.5275,34.7593
578,-77.3003,35.6122
579,-77.3003,35.6122
580,-77.9426,34.8682
581,-77.9426,34.8682
582,-77.0522,35.5465
583,-77.9516,34.2336
584,-78.5464,35.9056
585,-82.8386,34.6751
586,-77.4742,34.7731
587,-77.9515,34.2336
588,-81.7802,28.696
589,-81.7802,28.696
590,-77.3003,35.6122
591,-76.5275,34.7593
592,-82.8386,34.6751
593,-80.752608,32.216316
594,-82.304414,29.579173
595,-82.304414,29.579173
597,-82.304414,29.579173
598,-80.130046,25.790654
600,-95.90197,34.3265
601,-95.90197,34.3265
602,-94.39298,34.09521
603,-94.04461,34.43985
604,-94.667618,34.441204
605,-95.90197,34.3265
606,-95.90197,34.3265
607,-94.39298,34.09521
608,-94.04461,34.43985
621,-81.350306,27.26675
624,-81.350306,27.26675
631,-82.611667,30.653333
632,-95.28505,34.809583
634,-80.398001,27.638611
635,-94.80732,34.127605
636,-95.117447,34.738998
640,-95.456337,33.924507
641,-94.687416,34.136806
642,-80.148272,26.141117
643,-94.687416,34.136806
644,-95.189636,34.378002
645,-95.189636,34.378002
646,-95.189636,34.378002
647,-90.070068,29.962204
648,-90.070068,29.962204
649,-90.070068,29.962204
650,-90.070068,29.962204
651,-90.070068,29.962204
652,-90.070068,29.962204
