points,longitude,latitude
361,-68.71619,18.55832
362,-68.71619,18.55832
363,-68.71619,18.55832
364,-68.71995,18.4989
365,-68.71995,18.4989
366,-68.71995,18.4989
367,-68.72177,18.5139
368,-68.72177,18.5139
369,-68.72177,18.5139
370,-68.72061,18.5268
371,-68.72061,18.5268
372,-68.72061,18.5268
373,-68.72061,18.5268
374,-68.72061,18.5268
375,-68.71393,18.47081
376,-68.71393,18.47081
377,-68.71393,18.47081
378,-68.71393,18.47081
379,-68.71393,18.47081
380,-68.70064,18.44712
381,-68.70064,18.44712
382,-68.70064,18.44712
383,-68.70064,18.44712
384,-68.70064,18.44712
385,-68.71995,18.4989
386,-68.71995,18.4989
387,-68.71995,18.4989
388,-68.71995,18.4989
389,-68.71995,18.4989
390,-68.72061,18.5268
391,-68.72061,18.5268
392,-68.72061,18.5268
393,-68.72061,18.5268
394,-68.72061,18.5268
395,-68.71393,18.47081
396,-68.72061,18.5268
397,-68.72061,18.5268
398,-68.72061,18.5268
399,-68.72061,18.5268
400,-68.70064,18.44712
401,-68.70064,18.44712
402,-68.70064,18.44712
403,-68.70064,18.44712
404,-68.70064,18.44712
405,-68.71995,18.4989
406,-68.71995,18.4989
407,-68.71995,18.4989
408,-68.71995,18.4989
409,-68.71995,18.4989
410,-68.72061,18.5268
411,-68.72061,18.5268
412,-68.72061,18.5268
413,-68.72061,18.5268
414,-68.72061,18.5268
415,-68.72061,18.5268
416,-68.72061,18.5268
417,-68.72061,18.5268
418,-68.72061,18.5268
419,-68.72061,18.5268
420,-68.70064,18.44712
421,-68.63762,18.38779
422,-68.63762,18.38779
423,-68.63762,18.38779
424,-68.63762,18.38779
425,-68.72177,18.5139
426,-68.72177,18.5139
427,-68.72177,18.5139
428,-68.72177,18.5139
429,-68.72177,18.5139
430,-68.72177,18.5139
431,-68.72177,18.5139
432,-68.72177,18.5139
433,-68.72177,18.5139
434,-68.72177,18.5139
435,-68.72061,18.5268
436,-68.72061,18.5268
437,-68.72061,18.5268
438,-68.72061,18.5268
439,-68.71911,18.54463
440,-68.63762,18.38779
441,-68.63762,18.38779
442,-68.63762,18.38779
443,-68.63762,18.38779
