gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
734603435	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190784	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	first and only major intersection between Ennery and Plaisance - couple hundred meters E on intersecting road	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.52387	-72.45154			900.0	0.0			2009-08-06T00:00:00	6	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190784	Mahler1039	D. Luke Mahler	2009-08-06T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:14.798Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603431	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190779	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Source Matelas	Ouest Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.72391	-72.37335			90.0	0.0			2009-08-04T00:00:00	4	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190779	Mahler1004	D. Luke Mahler	2009-08-04T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:14:24.618Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603429	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190796	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Basinta - site on dirt road. 7.6km S of Trou Forban	Ouest Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.82718	-72.57038			21.0	0.0			2009-08-10T00:00:00	10	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190796	Mahler1090	D. Luke Mahler	2009-08-10T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:17.020Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603420	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190781	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	3rd small ravine past mountain peak (Between Ennery and Plaisance)	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.56683	-72.49297			450.0	0.0			2009-08-05T00:00:00	5	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190781	Mahler1017	D. Luke Mahler	2009-08-05T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:14:24.294Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603417	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190741	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Castillon	Grand Anse Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.46684	-74.116			945.0	0.0			2009-08-12T00:00:00	12	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190741	Mahler1144	D. Luke Mahler	2009-08-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:17.019Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603415	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190748	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Montagne Noire, Petion-Ville	Ouest Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.48994	-72.28899			881.0	0.0			2009-08-17T00:00:00	17	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190748	Mahler1212	D. Luke Mahler	2009-08-17T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:14.798Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603414	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190793	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	near town of Lafond; N of Saint Marc	Artibonite Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.17426	-72.65345			27.0	0.0			2009-08-09T00:00:00	9	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190793	Mahler1052	D. Luke Mahler	2009-08-09T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.096Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603407	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190778	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Source Matelas	Ouest Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.72391	-72.37335			90.0	0.0			2009-08-04T00:00:00	4	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190778	Mahler1003	D. Luke Mahler	2009-08-04T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:17.019Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603402	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190735	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Citadelle des Platons, Carrefour Canon - Les Cayes region	Sud Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.27049	-73.97054			740.0	0.0			2009-08-15T00:00:00	15	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190735	Mahler1113	D. Luke Mahler	2009-08-15T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.112Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603396	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190788	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	first and only major intersection between Ennery and Plaisance - couple hundred meters E on intersecting road	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.52387	-72.45154			900.0	0.0			2009-08-06T00:00:00	6	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190788	Mahler1043	D. Luke Mahler	2009-08-06T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.012Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
