points,longitude,latitude
697,-71.566666,18.316668
698,-71.566666,18.316668
699,-71.566666,18.316668
700,-71.566666,18.316668
701,-71.566666,18.316668
702,-71.566666,18.316668
703,-71.566666,18.316668
704,-71.566666,18.316668
705,-71.566666,18.316668
706,-71.566666,18.316668
707,-71.566666,18.316668
708,-71.566666,18.316668
709,-71.566666,18.316668
710,-71.566666,18.316668
711,-71.566666,18.316668
712,-71.566666,18.316668
713,-71.566666,18.316668
714,-71.566666,18.316668
715,-71.566666,18.316668
716,-71.566666,18.316668
717,-71.566666,18.316668
718,-71.566666,18.316668
719,-71.566666,18.316668
720,-71.566666,18.316668
721,-71.566666,18.316668
722,-71.566666,18.316668
723,-71.566666,18.316668
724,-71.566666,18.316668
725,-71.566666,18.316668
726,-71.566666,18.316668
727,-71.566666,18.316668
728,-71.566666,18.316668
729,-71.566666,18.316668
730,-71.566666,18.316668
731,-71.566666,18.316668
732,-71.1458293,18.1568406
733,-71.0994363,18.2173947
734,-71.0994363,18.2173947
735,-71.0994363,18.2173947
736,-71.18044,17.9607402
737,-71.3784443,17.7867487
738,-71.3784443,17.7867487
739,-71.3784443,17.7867487
740,-71.3784443,17.7867487
741,-71.3784443,17.7867487
742,-71.3784443,17.7867487
743,-71.0639674,18.1013334
744,-71.0639674,18.1013334
745,-71.0639674,18.1013334
746,-71.0639674,18.1013334
747,-71.0639674,18.1013334
748,-69.034262,18.9696319
749,-69.034262,18.9696319
750,-69.034262,18.9696319
751,-69.034262,18.9696319
752,-69.034262,18.9696319
753,-69.034262,18.9696319
754,-69.034262,18.9696319
755,-68.9293895,18.4867155
756,-69.466667,19.083332
757,-69.466667,19.083332
758,-71.262732,18.1199023
759,-71.262732,18.1199023
760,-71.262732,18.1199023
761,-69.4824019,18.4167188
762,-69.4824019,18.4167188
763,-70.4955,19.05
764,-70.4955,19.05
765,-70.4955,19.05
766,-70.5614266,19.0506874
767,-70.7734314,18.9706912
768,-70.7635411,18.911794
769,-70.7494308,18.9028245
770,-70.4031229,18.9216937
771,-70.4031229,18.9216937
772,-70.4031229,18.9216937
773,-70.4031229,18.9216937
774,-70.4031229,18.9216937
775,-70.4031229,18.9216937
776,-70.4031229,18.9216937
777,-70.7601808,18.4899745
